o_reward: 0.39, reward: 0.39, Epoch: 19    , params: 0.71, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 38.82   , genotype: [[6, [0, 1, 9, 6], [3, 4, 7, 3], [7, 7, 6, 8]], [[0, 2], [0, 3], [5, 4]]]
o_reward: 0.53, reward: 0.53, Epoch: 20    , params: 0.81, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 145.00  , genotype: [[5, [1, 0, 6, 10], [4, 0, 4, 5], [1, 0, 5, 0]], [[0, 2], [2, 4], [0, 4]]]
o_reward: 0.56, reward: 0.56, Epoch: 21    , params: 0.63, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 33.04   , genotype: [[3, [1, 0, 7, 2], [4, 3, 5, 2], [5, 4, 1, 3]], [[3, 2], [3, 3], [4, 2]]]
o_reward: 0.59, reward: 0.59, Epoch: 22    , params: 0.58, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 50.25   , genotype: [[5, [0, 1, 9, 4], [1, 1, 3, 10], [1, 0, 4, 5]], [[1, 2], [3, 1], [5, 4]]]
o_reward: 0.30, reward: 0.30, Epoch: 23    , params: 0.56, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 93.17   , genotype: [[0, [1, 0, 10, 4], [2, 2, 9, 5], [7, 6, 9, 6]], [[2, 0], [0, 0], [0, 2]]]
o_reward: 0.33, reward: 0.33, Epoch: 24    , params: 0.39, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 21.40   , genotype: [[3, [0, 1, 7, 3], [4, 4, 8, 0], [0, 1, 10, 4]], [[1, 0], [4, 0], [1, 0]]]
o_reward: 0.60, reward: 0.60, Epoch: 26    , params: 0.74, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 45.50   , genotype: [[8, [0, 1, 1, 3], [4, 4, 1, 5], [4, 0, 3, 2]], [[0, 2], [2, 3], [3, 2]]]
o_reward: 0.58, reward: 0.58, Epoch: 27    , params: 0.50, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 50.61   , genotype: [[10, [0, 1, 8, 6], [3, 0, 2, 7], [4, 4, 4, 3]], [[2, 3], [2, 1], [5, 0]]]
o_reward: 0.44, reward: 0.44, Epoch: 28    , params: 0.48, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 50.82   , genotype: [[0, [1, 0, 3, 6], [1, 1, 0, 9], [5, 2, 2, 9]], [[0, 3], [0, 1], [1, 3]]]
o_reward: 0.57, reward: 0.57, Epoch: 29    , params: 0.69, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 47.92   , genotype: [[9, [1, 1, 5, 9], [0, 4, 4, 0], [6, 7, 6, 6]], [[2, 1], [4, 2], [4, 3]]]
