o_reward: 0.51, reward: 0.54, Epoch: 142   , params: 0.45, delay: 1.00,flops: 1.00, mo_params_coe: 1.06, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 18.16   , genotype: [[3, [0, 0, 0, 7], [2, 3, 3, 5], [7, 2, 0, 0]], [[0, 2], [3, 0], [0, 0]]]
o_reward: 0.54, reward: 0.50, Epoch: 147   , params: 0.56, delay: 1.00,flops: 1.00, mo_params_coe: 0.93, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 15.93   , genotype: [[2, [0, 0, 1, 2], [3, 2, 4, 2], [7, 4, 8, 5]], [[3, 0], [0, 2], [3, 2]]]
o_reward: 0.55, reward: 0.62, Epoch: 857   , params: 0.41, delay: 1.00,flops: 1.00, mo_params_coe: 1.13, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 15.97   , genotype: [[9, [0, 0, 5, 9], [4, 1, 3, 7], [2, 4, 3, 10]], [[1, 0], [2, 0], [4, 2]]]
o_reward: 0.58, reward: 0.65, Epoch: 233   , params: 0.41, delay: 1.00,flops: 1.00, mo_params_coe: 1.12, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 11.26   , genotype: [[0, [1, 1, 5, 9], [1, 2, 7, 2], [2, 1, 9, 2]], [[1, 1], [0, 4], [3, 2]]]
o_reward: 0.61, reward: 0.60, Epoch: 210   , params: 0.52, delay: 1.00,flops: 1.00, mo_params_coe: 0.98, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 12.15   , genotype: [[5, [0, 1, 7, 9], [1, 3, 7, 1], [5, 5, 4, 9]], [[3, 2], [1, 4], [0, 1]]]
o_reward: 0.62, reward: 0.59, Epoch: 645   , params: 0.54, delay: 1.00,flops: 1.00, mo_params_coe: 0.95, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 17.09   , genotype: [[9, [0, 1, 1, 2], [2, 1, 0, 5], [6, 4, 7, 3]], [[0, 0], [3, 4], [4, 3]]]
o_reward: 0.64, reward: 0.62, Epoch: 815   , params: 0.52, delay: 1.00,flops: 1.00, mo_params_coe: 0.98, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 12.01   , genotype: [[7, [0, 0, 0, 10], [1, 1, 0, 5], [7, 4, 9, 5]], [[1, 1], [2, 4], [2, 0]]]
o_reward: 0.66, reward: 0.84, Epoch: 625   , params: 0.33, delay: 1.00,flops: 1.00, mo_params_coe: 1.28, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 10.67   , genotype: [[3, [0, 1, 7, 7], [2, 1, 7, 9], [6, 4, 3, 2]], [[2, 1], [3, 0], [4, 3]]]
o_reward: 0.68, reward: 0.64, Epoch: 296   , params: 0.55, delay: 1.00,flops: 1.00, mo_params_coe: 0.95, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 9.90    , genotype: [[9, [0, 1, 3, 1], [3, 4, 1, 7], [1, 4, 8, 2]], [[2, 3], [4, 4], [2, 0]]]


o_reward: 0.38, reward: 0.72, Epoch: 907   , params: 0.22, delay: 0.14,flops: 0.68, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.91, epoch_time: 10.77   , genotype: [[9, [0, 0, 9, 9], [4, 1, 10, 9], [2, 2, 9, 9]], [[2, 3], [0, 4], [1, 3]]]
o_reward: 0.40, reward: 0.76, Epoch: 777   , params: 0.22, delay: 0.19,flops: 0.68, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.90, epoch_time: 12.42   , genotype: [[9, [1, 0, 9, 10], [3, 2, 10, 10], [3, 5, 9, 9]], [[3, 1], [0, 4], [2, 2]]]
o_reward: 0.44, reward: 0.77, Epoch: 975   , params: 0.24, delay: 0.28,flops: 0.78, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.75, epoch_time: 13.30   , genotype: [[10, [0, 0, 10, 9], [0, 3, 9, 10], [2, 5, 10, 7]], [[3, 3], [0, 4], [1, 3]]]
o_reward: 0.50, reward: 0.85, Epoch: 828   , params: 0.24, delay: 0.18,flops: 0.82, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.70, epoch_time: 14.22   , genotype: [[2, [0, 0, 9, 9], [2, 1, 10, 9], [0, 4, 9, 9]], [[3, 3], [0, 2], [1, 2]]]
o_reward: 0.53, reward: 0.88, Epoch: 949   , params: 0.25, delay: 0.21,flops: 0.84, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.68, epoch_time: 10.89   , genotype: [[9, [1, 0, 9, 3], [3, 1, 9, 10], [3, 7, 9, 9]], [[2, 3], [0, 1], [3, 3]]]
o_reward: 0.61, reward: 0.96, Epoch: 809   , params: 0.26, delay: 0.28,flops: 0.95, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.56, epoch_time: 14.52   , genotype: [[10, [0, 0, 9, 3], [3, 1, 10, 10], [4, 2, 9, 2]], [[1, 3], [0, 3], [3, 3]]]
o_reward: 0.63, reward: 0.94, Epoch: 761   , params: 0.28, delay: 0.36,flops: 1.04, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.48, epoch_time: 14.94   , genotype: [[9, [0, 0, 10, 7], [4, 3, 9, 2], [3, 5, 2, 9]], [[2, 1], [0, 1], [2, 2]]]
o_reward: 0.65, reward: 0.89, Epoch: 804   , params: 0.31, delay: 0.30,flops: 1.18, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.37, epoch_time: 15.22   , genotype: [[3, [0, 0, 10, 3], [3, 3, 10, 9], [2, 4, 2, 3]], [[2, 3], [0, 2], [2, 3]]]
o_reward: 0.68, reward: 0.81, Epoch: 652   , params: 0.35, delay: 0.45,flops: 1.48, mo_params_coe: 0.00, mo_delay_coe: 0.00, mo_flops_coe: 1.20, epoch_time: 17.93   , genotype: [[0, [1, 0, 3, 7], [4, 1, 2, 0], [3, 5, 3, 2]], [[1, 3], [0, 4], [2, 1]]]
